Tanggal,Produk,Ulasan,Cleaning,Tokenizing,Normalisasi
3 minggu lalu,Cosmos Blenz CB-832PC - Blender 2 L,hasil blend bumbu keringnya lumayan halus,hasil blend bumbu keringnya lumayan halus,"['hasil', 'blend', 'bumbu', 'keringnya', 'lumayan', 'halus']","['hasil', 'blend', 'bumbu', 'keringnya', 'lumayan', 'halus']"
3 minggu lalu,16WFGR,"barangnya berfungsi dengan baik,  dan membuat ruangan jadi adem.  mantab jiwaaa 👍👍👍",barangnya berfungsi dengan baik dan membuat ruangan jadi adem mantab jiwaaa ,"['barangnya', 'berfungsi', 'dengan', 'baik', 'dan', 'membuat', 'ruangan', 'jadi', 'adem', 'mantab', 'jiwaaa', '']","['barangnya', 'berfungsi', 'dengan', 'baik', 'dan', 'membuat', 'ruangan', 'jadi', 'adem', 'mantab', 'jiwaaa', '']"
3 minggu lalu,Cosmos Rice Cooker Stainless steel CRJ 9368 2l,barang ok baik mulus rekomendasi mantap.  hasil memasaknya baik tidak merubah rasa. ,barang ok baik mulus rekomendasi mantap hasil memasaknya baik tidak merubah rasa ,"['barang', 'ok', 'baik', 'mulus', 'rekomendasi', 'mantap', 'hasil', 'memasaknya', 'baik', 'tidak', 'merubah', 'rasa', '']","['barang', 'ok', 'baik', 'mulus', 'rekomendasi', 'mantap', 'hasil', 'memasaknya', 'baik', 'tidak', 'merubah', 'rasa', '']"
3 minggu lalu,Cosmos CRJ-1803 - Rice Cooker 1.2 L,"barang tidak lengkap,  piringan bagian atas tidak ada.  bisa2nya official store begini.  kecewa banget. . . . ",barang tidak lengkap piringan bagian atas tidak ada bisanya official store begini kecewa banget ,"['barang', 'tidak', 'lengkap', 'piringan', 'bagian', 'atas', 'tidak', 'ada', 'bisanya', 'official', 'store', 'begini', 'kecewa', 'banget', '']","['barang', 'tidak', 'lengkap', 'piringan', 'bagian', 'atas', 'tidak', 'ada', 'bisanya', 'official', 'store', 'begini', 'kecewa', 'banget', '']"
4 minggu lalu,Cosmos CO-9909 W - Oven 9 L,"barang cepat sampai,  blm dicoba moga gak masalah",barang cepat sampai blm dicoba moga gak masalah,"['barang', 'cepat', 'sampai', 'blm', 'dicoba', 'moga', 'gak', 'masalah']","['barang', 'cepat', 'sampai', 'belum', 'dicoba', 'moga', 'enggak', 'masalah']"
4 minggu lalu,Cosmos CTL-210 - Ketel Elektrik 1.2 L,"mantap,  mantul bos",mantap mantul bos,"['mantap', 'mantul', 'bos']","['mantap', 'mantul', 'bos']"
4 minggu lalu,Cosmos Blender - Big Capacity - CB-282 AP - 2 liter,"barang original & di packing dengan aman.  
barang berfungsi dengan baik. ",barang original di packing dengan aman barang berfungsi dengan baik ,"['barang', 'original', 'di', 'packing', 'dengan', 'aman', 'barang', 'berfungsi', 'dengan', 'baik', '']","['barang', 'original', 'di', 'packing', 'dengan', 'aman', 'barang', 'berfungsi', 'dengan', 'baik', '']"
1 bulan lalu,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,"barang sesuai order ,  blm dipasang ,  semoga awet",barang sesuai order blm dipasang semoga awet,"['barang', 'sesuai', 'order', 'blm', 'dipasang', 'semoga', 'awet']","['barang', 'sesuai', 'order', 'belum', 'dipasang', 'semoga', 'awet']"
1 bulan lalu,Cosmos Standing  Fan 16 SAE  ( 16 INCH),semoga awet,semoga awet,"['semoga', 'awet']","['semoga', 'awet']"
1 bulan lalu,Cosmos CRJ-8229 WRG - Rice Cooker 2 L (Tongolan Super),nasi matang merata 👍 proses pesanan cepat penjualnya ramah banget respon penjualnya top packaging rapi packaging aman 🙏 mutu terjamin sni ringan tapi kokoh,nasi matang merata proses pesanan cepat penjualnya ramah banget respon penjualnya top packaging rapi packaging aman mutu terjamin sni ringan tapi kokoh,"['nasi', 'matang', 'merata', 'proses', 'pesanan', 'cepat', 'penjualnya', 'ramah', 'banget', 'respon', 'penjualnya', 'top', 'packaging', 'rapi', 'packaging', 'aman', 'mutu', 'terjamin', 'sni', 'ringan', 'tapi', 'kokoh']","['nasi', 'matang', 'merata', 'proses', 'pesanan', 'cepat', 'penjualnya', 'ramah', 'banget', 'respon', 'penjualnya', 'top', 'packaging', 'rapi', 'packaging', 'aman', 'mutu', 'terjamin', 'sni', 'ringan', 'tapi', 'kokoh']"
1 bulan lalu,Cosmos CRJ-3301 - Rice Cooker 1.8 L,"mantep,  normal semoga awet",mantep normal semoga awet,"['mantep', 'normal', 'semoga', 'awet']","['mantap', 'normal', 'semoga', 'awet']"
1 bulan lalu,Cosmos CRJ-3306 - Rice Cooker 1.8 L (Low Watt),brg bgs 👍👍,brg bgs ,"['brg', 'bgs', '']","['bareng', 'bagus', '']"
1 bulan lalu,Cosmos 16-WFG - Wall Fan - 16 Inch,"barang bagus,  keterangan nya sih garansi motor 5 tahun,  mudah2 an aja bener",barang bagus keterangan nya sih garansi motor tahun mudah an aja bener,"['barang', 'bagus', 'keterangan', 'nya', 'sih', 'garansi', 'motor', 'tahun', 'mudah', 'an', 'aja', 'bener']","['barang', 'bagus', 'keterangan', 'nya', 'sih', 'garansi', 'motor', 'tahun', 'mudah', 'an', 'saja', 'benar']"
1 bulan lalu,Cosmos NEW AIR FRYER CAF-6603,sudah digunakan dan aman.  semoga aman terus dan awet.  terimakasih,sudah digunakan dan aman semoga aman terus dan awet terimakasih,"['sudah', 'digunakan', 'dan', 'aman', 'semoga', 'aman', 'terus', 'dan', 'awet', 'terimakasih']","['sudah', 'digunakan', 'dan', 'aman', 'semoga', 'aman', 'terus', 'dan', 'awet', 'terimakasih']"
1 bulan lalu,"Cosmos WADESTA 16-S033 ONY - Kipas Angin 3in1-16 inch Wall,Desk,Stand","recommend seller,  produk asli dan berkualitas",recommend seller produk asli dan berkualitas,"['recommend', 'seller', 'produk', 'asli', 'dan', 'berkualitas']","['recommend', 'seller', 'produk', 'asli', 'dan', 'berkualitas']"
1 bulan lalu,Cosmos NEW AIR FRYER CAF-6603,utk kado jd tdk bisa tes.  pengiriman lumayan lama 1 minggu. ,utk kado jd tdk bisa tes pengiriman lumayan lama minggu ,"['utk', 'kado', 'jd', 'tdk', 'bisa', 'tes', 'pengiriman', 'lumayan', 'lama', 'minggu', '']","['untuk', 'kado', 'jadi', 'tidak', 'bisa', 'tes', 'pengiriman', 'lumayan', 'lama', 'minggu', '']"
1 bulan lalu,Cosmos CGC-121 P N - Kompor Gas Portable 0.95 Kg 1 Tungku NEW,oke,oke,['oke'],['oke']
1 bulan lalu,Cosmos Harmond CRJ-6601 - Rice Cooker 0.8 L (Black/White),oke. .  berfungsi baik. . ,oke berfungsi baik ,"['oke', 'berfungsi', 'baik', '']","['oke', 'berfungsi', 'baik', '']"
1 bulan lalu,Cosmos CB-282 P - Blender 2 L,seller slow respon.  packaging nya lama.  harus nunggu sehari lebih baru dikirim.  untungnya kurirnya cepet proses shipping nya.  packaging nya juga biasa banget.  cuma bubble. . .  ,seller slow respon packaging nya lama harus nunggu sehari lebih baru dikirim untungnya kurirnya cepet proses shipping nya packaging nya juga biasa banget cuma bubble ,"['seller', 'slow', 'respon', 'packaging', 'nya', 'lama', 'harus', 'nunggu', 'sehari', 'lebih', 'baru', 'dikirim', 'untungnya', 'kurirnya', 'cepet', 'proses', 'shipping', 'nya', 'packaging', 'nya', 'juga', 'biasa', 'banget', 'cuma', 'bubble', '']","['seller', 'slow', 'respon', 'packaging', 'nya', 'lama', 'harus', 'menunggu', 'sehari', 'lebih', 'baru', 'dikirim', 'untungnya', 'kurirnya', 'cepat', 'proses', 'shipping', 'nya', 'packaging', 'nya', 'juga', 'biasa', 'banget', 'cuma', 'bubble', '']"
1 bulan lalu,Cosmos 16 COCN - Kipas Angin Dinding 16 inch (Orbit Ceiling Fan),barangnya original jd dapat garansi juga.  pasangnya gampang dan berfungsi dg baik. ,barangnya original jd dapat garansi juga pasangnya gampang dan berfungsi dg baik ,"['barangnya', 'original', 'jd', 'dapat', 'garansi', 'juga', 'pasangnya', 'gampang', 'dan', 'berfungsi', 'dg', 'baik', '']","['barangnya', 'original', 'jadi', 'dapat', 'garansi', 'juga', 'pasangnya', 'gampang', 'dan', 'berfungsi', 'dengan', 'baik', '']"
1 bulan lalu,Cosmos CRJ-1001 N - Rice Cooker 0.6 L,"barang ok. 
tapi pengirimannya lama banget",barang ok tapi pengirimannya lama banget,"['barang', 'ok', 'tapi', 'pengirimannya', 'lama', 'banget']","['barang', 'ok', 'tapi', 'pengirimannya', 'lama', 'banget']"
1 bulan lalu,Cosmos Blenz CB-812 GC - Blender 2 L (Goblet Kaca) Plus Choper ,tadi coba bisa nyala mutar,tadi coba bisa nyala mutar,"['tadi', 'coba', 'bisa', 'nyala', 'mutar']","['tadi', 'coba', 'bisa', 'nyala', 'mutar']"
1 bulan lalu,Cosmos Kompor Induksi Listrik 1 Tungku CIC-951,barang datang dalam kondisi baik,barang datang dalam kondisi baik,"['barang', 'datang', 'dalam', 'kondisi', 'baik']","['barang', 'datang', 'dalam', 'kondisi', 'baik']"
1 bulan lalu,Cosmos Rice Cooker Non Stick CRJ-8228 B - 2.0L,"rice cooker sdh di terima,  di tes nyala,  hy pas di pencet cook koq lgsg lompat ke warm,  terus aja gt.  smg gk rusak ya,  tp barang aman gk ada yg penyok,  mksh 🙏🏻",rice cooker sdh di terima di tes nyala hy pas di pencet cook koq lgsg lompat ke warm terus aja gt smg gk rusak ya tp barang aman gk ada yg penyok mksh ,"['rice', 'cooker', 'sdh', 'di', 'terima', 'di', 'tes', 'nyala', 'hy', 'pas', 'di', 'pencet', 'cook', 'koq', 'lgsg', 'lompat', 'ke', 'warm', 'terus', 'aja', 'gt', 'smg', 'gk', 'rusak', 'ya', 'tp', 'barang', 'aman', 'gk', 'ada', 'yg', 'penyok', 'mksh', '']","['rice', 'cooker', 'sudah', 'di', 'terima', 'di', 'tes', 'nyala', 'hai', 'pas', 'di', 'pencet', 'cook', 'kok', 'langsung', 'lompat', 'ke', 'warm', 'terus', 'saja', 'begitu', 'semoga', 'enggak', 'rusak', 'ya', 'tapi', 'barang', 'aman', 'enggak', 'ada', 'yang', 'penyok', 'terima kasih', '']"
1 bulan lalu,Cosmos Blender - Big Capacity - CB-282 AP - 2 liter,"barang original,  kondisi barang saat datang baik tanpa cacat,  respon pejual bagus,  good job",barang original kondisi barang saat datang baik tanpa cacat respon pejual bagus good job,"['barang', 'original', 'kondisi', 'barang', 'saat', 'datang', 'baik', 'tanpa', 'cacat', 'respon', 'pejual', 'bagus', 'good', 'job']","['barang', 'original', 'kondisi', 'barang', 'saat', 'datang', 'baik', 'tanpa', 'cacat', 'respon', 'pejual', 'bagus', 'good', 'job']"
1 bulan lalu,Cosmos Food Processor FP-323 KUBA NEW PRODUK,"cantik barangnya,  pengemasannya juga aman sehingga diterima dengan selamat. . . 
untuk kinerjanya,  pas dicoba untuk kacang buat bumbu kacang jago banget sampe halus. . .  tapi. . .  ",cantik barangnya pengemasannya juga aman sehingga diterima dengan selamat untuk kinerjanya pas dicoba untuk kacang buat bumbu kacang jago banget sampe halus tapi ,"['cantik', 'barangnya', 'pengemasannya', 'juga', 'aman', 'sehingga', 'diterima', 'dengan', 'selamat', 'untuk', 'kinerjanya', 'pas', 'dicoba', 'untuk', 'kacang', 'buat', 'bumbu', 'kacang', 'jago', 'banget', 'sampe', 'halus', 'tapi', '']","['cantik', 'barangnya', 'pengemasannya', 'juga', 'aman', 'sehingga', 'diterima', 'dengan', 'selamat', 'untuk', 'kinerjanya', 'pas', 'dicoba', 'untuk', 'kacang', 'buat', 'bumbu', 'kacang', 'jago', 'banget', 'sampai', 'halus', 'tapi', '']"
1 bulan lalu,Cosmos Ketel Listrik CTL-618N -1.2L,"barang diterima dengan baik,  sudah dicoba dan berfungsi dengan baik. ",barang diterima dengan baik sudah dicoba dan berfungsi dengan baik ,"['barang', 'diterima', 'dengan', 'baik', 'sudah', 'dicoba', 'dan', 'berfungsi', 'dengan', 'baik', '']","['barang', 'diterima', 'dengan', 'baik', 'sudah', 'dicoba', 'dan', 'berfungsi', 'dengan', 'baik', '']"
1 bulan lalu,Cosmos Food Processor FP-323 KUBA NEW PRODUK,"checkout 31 desember baru di kirim 3 januari

saran aja jika produk tidak termasuk penjualan mending gambar ke 4, 5 dan 6 di hapus aja",checkout desember baru di kirim januari saran aja jika produk tidak termasuk penjualan mending gambar ke dan di hapus aja,"['checkout', 'desember', 'baru', 'di', 'kirim', 'januari', 'saran', 'aja', 'jika', 'produk', 'tidak', 'termasuk', 'penjualan', 'mending', 'gambar', 'ke', 'dan', 'di', 'hapus', 'aja']","['checkout', 'desember', 'baru', 'di', 'kirim', 'januari', 'saran', 'ssaja', 'jika', 'produk', 'tidak', 'termasuk', 'penjualan', 'mending', 'gambar', 'ke', 'dan', 'di', 'hapus', 'ssaja']"
1 bulan lalu,COSMOS RICE COOKER  NON STICK CRJ 3012 O candy series ,sayang gak ada tampungan airnya jadi mleber kemana mana,sayang gak ada tampungan airnya jadi mleber kemana mana,"['sayang', 'gak', 'ada', 'tampungan', 'airnya', 'jadi', 'mleber', 'kemana', 'mana']","['sayang', 'enggak', 'ada', 'tampungan', 'airnya', 'jadi', 'mleber', 'kemana', 'mana']"
1 bulan lalu,Cosmos CTL-210 - Ketel Elektrik 1.2 L BLACK,bagus,bagus,['bagus'],['bagus']
1 bulan lalu,"Cosmos CWD-5603 - Dispenser Hot, Fresh & Cold",pengiriman lambat,pengiriman lambat,"['pengiriman', 'lambat']","['pengiriman', 'lambat']"
1 bulan lalu,Cosmos CB-281 G - Blender 2 L,jangan pernah beli disini packing amatir barang dalam box tdk di wrap rusak tdk diganti,jangan pernah beli disini packing amatir barang dalam box tdk di wrap rusak tdk diganti,"['jangan', 'pernah', 'beli', 'disini', 'packing', 'amatir', 'barang', 'dalam', 'box', 'tdk', 'di', 'wrap', 'rusak', 'tdk', 'diganti']","['jangan', 'pernah', 'beli', 'disini', 'packing', 'amatir', 'barang', 'dalam', 'box', 'tidak', 'di', 'wrap', 'rusak', 'tidak', 'diganti']"
1 bulan lalu,Cosmos CB-282 P - Blender 2 L,mantap,mantap,['mantap'],['mantap']
1 bulan lalu,Cosmos CRJ-3306 - Rice Cooker 1.8 L (Low Watt),ga di kasih hadiahh,ga di kasih hadiahh,"['ga', 'di', 'kasih', 'hadiahh']","['enggak', 'di', 'kasih', 'hadiahh']"
1 bulan lalu,Cosmos 12 DAR N - Kipas Angin Meja 12 inch,sesuai pesanan.  original official.  semoga awet barangnya.  terima kasih 🙏,sesuai pesanan original official semoga awet barangnya terima kasih ,"['sesuai', 'pesanan', 'original', 'official', 'semoga', 'awet', 'barangnya', 'terima', 'kasih', '']","['sesuai', 'pesanan', 'original', 'official', 'semoga', 'awet', 'barangnya', 'terima', 'kasih', '']"
1 bulan lalu,Cosmos CRJ-1031 - Mini Portable Digital Rice Cooker 0.3 L,"barang diterima dengan baik,  pengiriman jg cepat",barang diterima dengan baik pengiriman jg cepat,"['barang', 'diterima', 'dengan', 'baik', 'pengiriman', 'jg', 'cepat']","['barang', 'diterima', 'dengan', 'baik', 'pengiriman', 'juga', 'cepat']"
1 bulan lalu,"Cosmos WADESTA 16-S033 ONY - Kipas Angin 3in1-16 inch Wall,Desk,Stand","joooosss, . ",joooosss ,"['joooosss', '']","['joooosss', '']"
1 bulan lalu,Cosmos Kipas Angin Ceiling Fan 56 - CBA,hehee salah pilih ukuran jadi blm dipakai. .  semoga nanti bisa dipakai dan awet. .  pengiriman oke,hehee salah pilih ukuran jadi blm dipakai semoga nanti bisa dipakai dan awet pengiriman oke,"['hehee', 'salah', 'pilih', 'ukuran', 'jadi', 'blm', 'dipakai', 'semoga', 'nanti', 'bisa', 'dipakai', 'dan', 'awet', 'pengiriman', 'oke']","['hehee', 'salah', 'pilih', 'ukuran', 'jadi', 'belum', 'dipakai', 'semoga', 'nanti', 'bisa', 'dipakai', 'dan', 'awet', 'pengiriman', 'oke']"
1 bulan lalu,Cosmos Blenz CB-832PC - Blender 2 L,"sesuai pesanan,  pengiriman cepat",sesuai pesanan pengiriman cepat,"['sesuai', 'pesanan', 'pengiriman', 'cepat']","['sesuai', 'pesanan', 'pengiriman', 'cepat']"
1 bulan lalu,Cosmos Blenz CB-802 - Blender 1.2 L,"barang original,  kualitas baik,  dipake juga berfungsi dengan baik,  tapi adminnya rada lama nih respon nya,  saran kedepannya adminnya kudu gercep bales,  kalau emang g bisa. . .  ",barang original kualitas baik dipake juga berfungsi dengan baik tapi adminnya rada lama nih respon nya saran kedepannya adminnya kudu gercep bales kalau emang  bisa ,"['barang', 'original', 'kualitas', 'baik', 'dipake', 'juga', 'berfungsi', 'dengan', 'baik', 'tapi', 'adminnya', 'rada', 'lama', 'nih', 'respon', 'nya', 'saran', 'kedepannya', 'adminnya', 'kudu', 'gercep', 'bales', 'kalau', 'emang', '', 'bisa', '']","['barang', 'original', 'kualitas', 'baik', 'dipakai', 'juga', 'berfungsi', 'dengan', 'baik', 'tapi', 'adminnya', 'rada', 'lama', 'nih', 'respon', 'nya', 'saran', 'kedepannya', 'adminnya', 'kudu', 'gercep', 'balas', 'kalau', 'memang', '', 'bisa', '']"
1 bulan lalu,Cosmos CRJ-8229 WRG - Rice Cooker 2 L (Tongolan Super),"rice cooker nampak elegan.  warna juga demikina.  untuk coba rasa belum yah.  krn belum di pakai.  kardus mulus,  sayang ada bagian yang gak terlalu nempel di tombol dan lampu. . .  ",rice cooker nampak elegan warna juga demikina untuk coba rasa belum yah krn belum di pakai kardus mulus sayang ada bagian yang gak terlalu nempel di tombol dan lampu ,"['rice', 'cooker', 'nampak', 'elegan', 'warna', 'juga', 'demikina', 'untuk', 'coba', 'rasa', 'belum', 'yah', 'krn', 'belum', 'di', 'pakai', 'kardus', 'mulus', 'sayang', 'ada', 'bagian', 'yang', 'gak', 'terlalu', 'nempel', 'di', 'tombol', 'dan', 'lampu', '']","['rice', 'cooker', 'menampak', 'elegan', 'warna', 'juga', 'demikina', 'untuk', 'coba', 'rasa', 'belum', 'ya', 'karena', 'belum', 'di', 'pakai', 'kardus', 'mulus', 'sayang', 'ada', 'bagian', 'yang', 'enggak', 'terlalu', 'menempel', 'di', 'tombol', 'dan', 'lampu', '']"
1 bulan lalu,Cosmos CB-282 G - Blender 2 L,barangnya sudah sampai dan sesuai.  terima kasih! 🙏🏻,barangnya sudah sampai dan sesuai terima kasih ,"['barangnya', 'sudah', 'sampai', 'dan', 'sesuai', 'terima', 'kasih', '']","['barangnya', 'sudah', 'sampai', 'dan', 'sesuai', 'terima', 'kasih', '']"
1 bulan lalu,Cosmos CTL-210 - Ketel Elektrik 1.2 L BLACK,minimalis dan mudah digunakan,minimalis dan mudah digunakan,"['minimalis', 'dan', 'mudah', 'digunakan']","['minimalis', 'dan', 'mudah', 'digunakan']"
1 bulan lalu,Cosmos Standing  Fan 16 SAE  ( 16 INCH),"pengiriman aman pakai bubble wrap,  perakitan gampang,  kelihatan sudah qc karena ada bekas sidik jari dan sticker disekitar switch box,  sudah dipakai 1 minggu belum ada ma. . .  ",pengiriman aman pakai bubble wrap perakitan gampang kelihatan sudah qc karena ada bekas sidik jari dan sticker disekitar switch box sudah dipakai minggu belum ada ma ,"['pengiriman', 'aman', 'pakai', 'bubble', 'wrap', 'perakitan', 'gampang', 'kelihatan', 'sudah', 'qc', 'karena', 'ada', 'bekas', 'sidik', 'jari', 'dan', 'sticker', 'disekitar', 'switch', 'box', 'sudah', 'dipakai', 'minggu', 'belum', 'ada', 'ma', '']","['pengirisaman', 'asaman', 'pakai', 'bubble', 'wrap', 'perakitan', 'gampang', 'kelihatan', 'sudah', 'qc', 'karena', 'ada', 'bekas', 'sidik', 'jari', 'dan', 'sticker', 'disekitar', 'switch', 'box', 'sudah', 'dipakai', 'minggu', 'belum', 'ada', 'sama', '']"
1 bulan lalu,Cosmos CRJ-3020 G - Gas Rice Cooker 20 L,respon cepat barang mantap,respon cepat barang mantap,"['respon', 'cepat', 'barang', 'mantap']","['respon', 'cepat', 'barang', 'mantap']"
1 bulan lalu,Cosmos Standing  Fan 16 SAE  ( 16 INCH),barang sesuai deskripsi,barang sesuai deskripsi,"['barang', 'sesuai', 'deskripsi']","['barang', 'sesuai', 'deskripsi']"
1 bulan lalu,Cosmos CCM-307 N - Coffee Maker 0.65 Liter,barang sesuai deskripsi,barang sesuai deskripsi,"['barang', 'sesuai', 'deskripsi']","['barang', 'sesuai', 'deskripsi']"
1 bulan lalu,Cosmos Blenz CB-832PC - Blender 2 L,ini bau kebakar dan nyetrum.  udahlah mau complain terlanjur males.  mesin blender kan emang bisa mati sendiri nanti nyala lagi sendiri.  baru dipake buat jus buah bit + wor. . .  ,ini bau kebakar dan nyetrum udahlah mau complain terlanjur males mesin blender kan emang bisa mati sendiri nanti nyala lagi sendiri baru dipake buat jus buah bit wor ,"['ini', 'bau', 'kebakar', 'dan', 'nyetrum', 'udahlah', 'mau', 'complain', 'terlanjur', 'males', 'mesin', 'blender', 'kan', 'emang', 'bisa', 'mati', 'sendiri', 'nanti', 'nyala', 'lagi', 'sendiri', 'baru', 'dipake', 'buat', 'jus', 'buah', 'bit', 'wor', '']","['ini', 'bau', 'kebakar', 'dan', 'nyetrum', 'sudahlah', 'mau', 'complain', 'terlanjur', 'malas', 'mesin', 'blender', 'kan', 'memang', 'bisa', 'mati', 'sendiri', 'nanti', 'nyala', 'lagi', 'sendiri', 'baru', 'dipakai', 'buat', 'jus', 'buah', 'bit', 'wor', '']"
1 bulan lalu,Stand Mixer COSMIC CM-1269 (Cosmos Mixer with Container),barang yang dikirim lengkap,barang yang dikirim lengkap,"['barang', 'yang', 'dikirim', 'lengkap']","['barang', 'yang', 'dikirim', 'lengkap']"
1 bulan lalu,Cosmos Harmond CRJ-6601 - Rice Cooker 0.8 L (Black/White),sesuai pesanan dan proses pengiriman cepat,sesuai pesanan dan proses pengiriman cepat,"['sesuai', 'pesanan', 'dan', 'proses', 'pengiriman', 'cepat']","['sesuai', 'pesanan', 'dan', 'proses', 'pengiriman', 'cepat']"
1 bulan lalu,Cosmos 16-WFGRR - Wall Fan - 16 Inch,udara jadi sejuk,udara jadi sejuk,"['udara', 'jadi', 'sejuk']","['udara', 'jadi', 'sejuk']"
1 bulan lalu,Cosmos Blenz CB-812 GC - Blender 2 L (Goblet Kaca) Plus Choper ,produk d terima dng aman dan berfungsi dng baik. terima kasih,produk  terima dng aman dan berfungsi dng baik terima kasih,"['produk', '', 'terima', 'dng', 'aman', 'dan', 'berfungsi', 'dng', 'baik', 'terima', 'kasih']","['produk', '', 'terima', 'dengan', 'aman', 'dan', 'berfungsi', 'dengan', 'baik', 'terima', 'kasih']"
1 bulan lalu,Cosmos Blenz CB-832PC - Blender 2 L,"barang sesuai lengkap,  pengiriman dan packing bagus,  belum di coba semoga amn dan awet",barang sesuai lengkap pengiriman dan packing bagus belum di coba semoga amn dan awet,"['barang', 'sesuai', 'lengkap', 'pengiriman', 'dan', 'packing', 'bagus', 'belum', 'di', 'coba', 'semoga', 'amn', 'dan', 'awet']","['barang', 'sesuai', 'lengkap', 'pengiriman', 'dan', 'packing', 'bagus', 'belum', 'di', 'coba', 'semoga', 'amn', 'dan', 'awet']"
1 bulan lalu,Cosmos CB-281 P - Blender 2 L,"cepet bgt pengemasan barangnya,  pesen siang,  malem sampe pake jasa same day.  blendernya juga bagus,  pisau tajam,  sudah coba jus buah jg mantapp",cepet bgt pengemasan barangnya pesen siang malem sampe pake jasa same day blendernya juga bagus pisau tajam sudah coba jus buah jg mantapp,"['cepet', 'bgt', 'pengemasan', 'barangnya', 'pesen', 'siang', 'malem', 'sampe', 'pake', 'jasa', 'same', 'day', 'blendernya', 'juga', 'bagus', 'pisau', 'tajam', 'sudah', 'coba', 'jus', 'buah', 'jg', 'mantapp']","['cepat', 'banget', 'pengemasan', 'barangnya', 'pesan', 'siang', 'malam', 'sampai', 'pakai', 'jasa', 'same', 'day', 'blendernya', 'juga', 'bagus', 'pisau', 'tajam', 'sudah', 'coba', 'jus', 'buah', 'juga', 'mantap']"
2 bulan lalu,Cosmos CGS-123 P BROWN - Kompor Portable 1.45 Kg 1 Tungku NEW Looks,"respon penjual cepat,  kiriman rapi,  ada bonus kalender 2024,  terima kasih toko pedia. ",respon penjual cepat kiriman rapi ada bonus kalender terima kasih toko pedia ,"['respon', 'penjual', 'cepat', 'kiriman', 'rapi', 'ada', 'bonus', 'kalender', 'terima', 'kasih', 'toko', 'pedia', '']","['respon', 'penjual', 'cepat', 'kiriman', 'rapi', 'ada', 'bonus', 'kalender', 'terima', 'kasih', 'toko', 'pedia', '']"
2 bulan lalu,Cosmos Rice Cooker Non Stick CRJ-3121 AF- 1.8L,barang bagus.  pengiriman baik.  hanya ongkir mahal ya. . ,barang bagus pengiriman baik hanya ongkir mahal ya ,"['barang', 'bagus', 'pengiriman', 'baik', 'hanya', 'ongkir', 'mahal', 'ya', '']","['barang', 'bagus', 'pengiriman', 'baik', 'hanya', 'ongkir', 'mahal', 'ya', '']"
2 bulan lalu,Cosmos Blenz CB-802 - Blender 1.2 L,"packing rapi,  sementara masih blm dicoba",packing rapi sementara masih blm dicoba,"['packing', 'rapi', 'sementara', 'masih', 'blm', 'dicoba']","['packing', 'rapi', 'sementara', 'masih', 'belum', 'dicoba']"
2 bulan lalu,Cosmos CB-282 G - Blender 2 L,"barang nyampe dengan selamat, gaada cacat barang atau apapun. langsung dicoba",barang nyampe dengan selamat gaada cacat barang atau apapun langsung dicoba,"['barang', 'nyampe', 'dengan', 'selamat', 'gaada', 'cacat', 'barang', 'atau', 'apapun', 'langsung', 'dicoba']","['barang', 'sampai', 'dengan', 'selamat', 'enggak ada', 'cacat', 'barang', 'atau', 'apapun', 'langsung', 'dicoba']"
2 bulan lalu,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,"reviews nya kebelet ke tolilet,  
kipas dr official store mah. 
kita ga pernah ragu dgn garansinya. 
makasih official store. ",reviews nya kebelet ke tolilet kipas dr official store mah kita ga pernah ragu dgn garansinya makasih official store ,"['reviews', 'nya', 'kebelet', 'ke', 'tolilet', 'kipas', 'dr', 'official', 'store', 'mah', 'kita', 'ga', 'pernah', 'ragu', 'dgn', 'garansinya', 'makasih', 'official', 'store', '']","['reviews', 'nya', 'kebelet', 'ke', 'tolilet', 'kipas', 'dari', 'official', 'store', 'mah', 'kita', 'enggak', 'pernah', 'ragu', 'dengan', 'enggakransinya', 'terima kasih', 'official', 'store', '']"
2 bulan lalu,Cosmos CIS-418 - Setrika Listrik,ok,ok,['ok'],['ok']
2 bulan lalu,Cosmos Harmond CRJ-6288 - Rice Cooker 2 L (Red/Green/Blue),"mendarat ,  diterima dengan aman,  bagus keluarga suka.  pengiriman kargo nya mantap",mendarat diterima dengan aman bagus keluarga suka pengiriman kargo nya mantap,"['mendarat', 'diterima', 'dengan', 'aman', 'bagus', 'keluarga', 'suka', 'pengiriman', 'kargo', 'nya', 'mantap']","['mendarat', 'diterima', 'dengan', 'aman', 'bagus', 'keluarga', 'suka', 'pengiriman', 'kargo', 'nya', 'mantap']"
2 bulan lalu,Cosmos CGS-123 P BROWN - Kompor Portable 1.45 Kg 1 Tungku NEW Looks,barang berkualitas 👍,barang berkualitas ,"['barang', 'berkualitas', '']","['barang', 'berkualitas', '']"
